Pos, Norm, UV 
{1.08594, 0.273438, -0.390625}	{0.251564, 0.260781, 0.932005}	{0, 0.181122} 
{1.1875, 0.34375, -0.484375}	{-0.003082, -0.330882, 0.943632}	{0.727399, 0} 
{-1.1875, 0.34375, -0.484375}	{0.003082, -0.330882, 0.943632}	{0.174315, 0.716236} 
{-1.08594, 0.273438, -0.390625}	{-0.251564, 0.260781, 0.932005}	{0, 0.601897} 
{-1.03906, 0.328125, -0.414063}	{-0.468886, -0.304727, 0.829005}	{0.129938, 0} 
{1.25, 0.46875, -0.546875}	{0.473067, 0.578997, -0.664022}	{0.608704, 0.118775} 
{1.36719, 0.296875, -0.5}	{0.992462, 0.028626, -0.1189}	{0, 0.659234} 
{1.3125, 0.054688, -0.53125}	{0.459975, -0.380261, -0.802362}	{0.135195, 0} 
{-1.3125, 0.054688, -0.53125}	{-0.459975, -0.380261, -0.802362}	{0.266169, 0.503056} 
{-1.36719, 0.296875, -0.5}	{-0.992462, 0.028626, -0.1189}	{0, 0.270502} 
{-1.25, 0.46875, -0.546875}	{-0.473067, 0.578997, -0.664022}	{0.531304, 0} 
{-0.789063, -0.125, -0.328125}	{-0.059908, -0.804712, -0.590594}	{0.237927, 0.525958} 
{-0.640625, -0.007813, -0.429688}	{-0.346141, -0.637287, -0.688498}	{0, 0.665505} 
{-0.59375, -0.125, -0.164063}	{-0.330546, -0.943236, 0.031281}	{0.320215, 0} 
{-0.773438, -0.140625, -0.125}	{-0.073672, -0.594989, 0.800317}	{0.698081, 0.31487} 
{0.59375, -0.125, -0.164063}	{0.330546, -0.943236, 0.031281}	{0, 0.693747} 
{0.640625, -0.007813, -0.429688}	{0.346141, -0.637287, -0.688498}	{0.343118, 0} 
{0.789063, -0.125, -0.328125}	{0.059908, -0.804712, -0.590594}	{0.392095, 0.783569} 
{0.773438, -0.140625, -0.125}	{0.073672, -0.594989, 0.800317}	{0, 0.421339} 
{-0.859375, 0.382813, -0.382813}	{0.593738, 0.595264, -0.541368}	{0.77499, 0} 
{-0.773438, 0.265625, -0.4375}	{-0.626057, -0.002686, -0.779748}	{0.422693, 0.793271} 
{0.773438, 0.265625, -0.4375}	{0.626057, -0.002686, -0.779748}	{0, 0.628129} 
{0.859375, 0.382813, -0.382813}	{-0.593738, 0.595264, -0.541368}	{0.465996, 0} 
{-0.890625, 0.40625, -0.234375}	{0.127689, 0.703757, 0.698843}	{0.613733, 0.456434} 
{-0.820313, 0.328125, -0.203125}	{-0.713828, 0.382183, 0.58681}	{0, 0.634389} 
{-0.773438, 0.265625, -0.4375}	{-0.626057, -0.002686, -0.779748}	{0.436387, 0} 
{-0.859375, 0.382813, -0.382813}	{0.593738, 0.595264, -0.541368}	{0.501778, 0.870396} 
{0.773438, 0.265625, -0.4375}	{0.626057, -0.002686, -0.779748}	{0, 0.507486} 
{0.820313, 0.328125, -0.203125}	{0.713828, 0.382183, 0.58681}	{0.857499, 0} 
{0.859375, 0.382813, -0.382813}	{-0.593738, 0.595264, -0.541368}	{0.528577, 0.86585} 
{0.890625, 0.40625, -0.234375}	{-0.127689, 0.703757, 0.698843}	{0, 0.643384} 
{-1.02344, 0.4375, -0.484375}	{0.378063, 0.560045, -0.737144}	{0.583025, 0} 
{-1.03906, -0.085938, -0.492188}	{0.036805, -0.708457, -0.704764}	{0.644052, 0.562152} 
{1.02344, 0.4375, -0.484375}	{-0.378063, 0.560045, -0.737144}	{0, 0.656465} 
{1.03906, -0.085938, -0.492188}	{-0.036805, -0.708457, -0.704764}	{0.561923, 0} 
{-0.859375, 0.382813, -0.382813}	{0.593738, 0.595264, -0.541368}	{0.766386, 0.787223} 
{-1.02344, 0.476563, -0.3125}	{-0.031556, 0.83871, 0.543626}	{0, 0.745292} 
{1.02344, 0.476563, -0.3125}	{0.031556, 0.83871, 0.543626}	{0.810963, 0} 
{-1.23438, 0.507813, -0.421875}	{-0.361156, 0.848689, 0.386303}	{0.708792, 0.802136} 
{1.23438, 0.507813, -0.421875}	{0.361156, 0.848689, 0.386303}	{0, 0.769147} 
{-1.35156, 0.320313, -0.421875}	{-0.716392, 0.204474, 0.667043}	{0.634951, 0} 
{-1.35156, 0.320313, -0.421875}	{-0.716392, 0.204474, 0.667043}	{0.732033, 0.641034} 
{-1.23438, 0.507813, -0.421875}	{-0.361156, 0.848689, 0.386303}	{0, 0.711181} 
{1.23438, 0.507813, -0.421875}	{0.361156, 0.848689, 0.386303}	{0.618495, 0} 
{1.35156, 0.320313, -0.421875}	{0.716392, 0.204474, 0.667043}	{0.849461, 0.545148} 
{-1.3125, 0.054688, -0.53125}	{-0.459975, -0.380261, -0.802362}	{0, 0.823375} 
{-1.28125, 0.054688, -0.429688}	{-0.662038, -0.41377, 0.624866}	{0.497849, 0} 
{-1.36719, 0.296875, -0.5}	{-0.992462, 0.028626, -0.1189}	{0.897469, 0.500666} 
{-1.28125, 0.054688, -0.429688}	{-0.662038, -0.41377, 0.624866}	{0, 0.902318} 
{-1.35156, 0.320313, -0.421875}	{-0.716392, 0.204474, 0.667043}	{0.546395, 0} 
{1.35156, 0.320313, -0.421875}	{0.716392, 0.204474, 0.667043}	{0.572425, 0.679855} 
{1.28125, 0.054688, -0.429688}	{0.662038, -0.41377, 0.624866}	{0, 0.643837} 
{1.28125, 0.054688, -0.429688}	{0.662038, -0.41377, 0.624866}	{0.668801, 0} 
{1.3125, 0.054688, -0.53125}	{0.459975, -0.380261, -0.802362}	{0.623443, 0.718088} 
{1.36719, 0.296875, -0.5}	{0.992462, 0.028626, -0.1189}	{0, 0.572425} 
{-1.03906, -0.101563, -0.328125}	{-0.530229, -0.655751, 0.53737}	{0.724426, 0} 
{-1.28125, 0.054688, -0.429688}	{-0.662038, -0.41377, 0.624866}	{0.726607, 0.540494} 
{1.28125, 0.054688, -0.429688}	{0.662038, -0.41377, 0.624866}	{0, 0.753364} 
{1.03906, -0.101563, -0.328125}	{0.530229, -0.655751, 0.53737}	{0.51846, 0} 
{-1.10938, 0.210938, -0.390625}	{-0.437483, 0.001221, 0.899197}	{0.715449, 0.680462} 
{-1.25781, 0.242188, -0.492188}	{0.550981, -0.138096, 0.822993}	{0, 0.749227} 
{1.10938, 0.210938, -0.390625}	{0.437483, 0.001221, 0.899197}	{0.698466, 0} 
{1.25781, 0.242188, -0.492188}	{-0.550981, -0.138096, 0.822993}	{0.695922, 0.53458} 
{-1.05469, 0.1875, -0.382813}	{-0.315958, -0.102298, 0.943205}	{0, 0.693526} 
{-1.21094, 0.085938, -0.484375}	{0.608539, 0.296121, 0.736167}	{0.510498, 0} 
{1.21094, 0.085938, -0.484375}	{-0.608539, 0.296121, 0.736167}	{0.753364, 0.51846} 
{1.05469, 0.1875, -0.382813}	{0.315958, -0.102298, 0.943205}	{0, 0.726607} 
{-1, 0.125, -0.367188}	{-0.445479, -0.088778, 0.890866}	{0.540494, 0} 
{-1.04688, 0, -0.421875}	{-0.257698, 0.600024, 0.757317}	{0.715449, 0.680462} 
{1.04688, 0, -0.421875}	{0.257698, 0.600024, 0.757317}	{0, 0.772837} 
{1, 0.125, -0.367188}	{0.445479, -0.088778, 0.890866}	{0.655221, 0} 
{-0.9375, 0.0625, -0.335938}	{-0.327799, 0.169927, 0.929319}	{0.749227, 0.698466} 
{-0.882813, -0.015625, -0.265625}	{0.04178, 0.927213, 0.372112}	{0, 0.78462} 
{0.9375, 0.0625, -0.335938}	{0.327799, 0.169927, 0.929319}	{0.67982, 0} 
{0.882813, -0.015625, -0.265625}	{-0.04178, 0.927213, 0.372112}	{0.718163, 0.580185} 
{-0.851563, 0.015625, -0.320313}	{-0.277932, 0.260201, 0.92468}	{0, 0.809389} 
{-0.8125, -0.015625, -0.320313}	{-0.750725, 0.111545, 0.651112}	{0.599417, 0} 
{0.8125, -0.015625, -0.320313}	{0.750725, 0.111545, 0.651112}	{0.761761, 0.743313} 
{0.851563, 0.015625, -0.320313}	{0.277932, 0.260201, 0.92468}	{0, 0.66775} 
{-0.84375, 0.171875, -0.320313}	{-0.43791, -0.293985, 0.849574}	{0.767676, 0} 
{-0.890625, 0.109375, -0.328125}	{-0.183782, 0.036836, 0.982269}	{0.726607, 0.540494} 
{-0.828125, 0.078125, -0.320313}	{-0.554216, 0.387219, 0.736808}	{0, 0.69311} 
{-0.765625, 0.09375, -0.320313}	{-0.814325, 0.253426, 0.522111}	{0.564191, 0} 
{0.828125, 0.078125, -0.320313}	{0.554216, 0.387219, 0.736808}	{0.797155, 0.722534} 
{0.890625, 0.109375, -0.328125}	{0.183782, 0.036836, 0.982269}	{0, 0.682009} 
{0.84375, 0.171875, -0.320313}	{0.43791, -0.293985, 0.849574}	{0.616616, 0} 
{0.765625, 0.09375, -0.320313}	{0.814325, 0.253426, 0.522111}	{0.795802, 0.787304} 
{-0.960938, 0.171875, -0.351563}	{-0.32667, -0.001617, 0.945128}	{0, 0.719538} 
{-0.890625, 0.234375, -0.320313}	{-0.704337, -0.526872, 0.475692}	{0.655221, 0} 
{0.890625, 0.234375, -0.320313}	{0.704337, -0.526872, 0.475692}	{0.719538, 0.655221} 
{0.960938, 0.171875, -0.351563}	{0.32667, -0.001617, 0.945128}	{0, 0.682009} 
{-1.01563, 0.234375, -0.375}	{-0.308786, 0.134617, 0.941527}	{0.616616, 0} 
{-0.953125, 0.289063, -0.34375}	{-0.62917, -0.371441, 0.68273}	{0.795802, 0.787304} 
{0.953125, 0.289063, -0.34375}	{0.62917, -0.371441, 0.68273}	{0, 0.756895} 
{1.01563, 0.234375, -0.375}	{0.308786, 0.134617, 0.941527}	{0.826983, 0} 
